Number,Title,Author,Status
6963,Multi Injected Provider Discovery,"Pedro Gomes, Kosala Hemachandra, Richard Moore, Gregory Markou, Kyle Den Hartog, Glitch, Jake Moxey, Pierre Bertet, Darryl Yeo, Yaroslav Sergievsky",Final
6982,Efficient Default Lockable Tokens,"Francesco Sullo, Alexe Spataru",Final
7007,Verifiable AI-Generated Content Token,"Cathie So, Xiaohang Yu, Conway, Lee Ting Ting, Kartin",Final
7044,Perpetually Valid Signed Voluntary Exits,Lion,Final
7045,Increase max attestation inclusion slot,Danny Ryan,Final
7053,Interoperable Digital Media Indexing,"Bofu Chen, Tammy Yang",Final
7066,Lockable Extension for ERC-721,"Piyush Chittara, StreamNFT, Srinivas Joshi",Final
7092,Financial Bonds,Samuel Gwlanold Edoumou,Final
7160,ERC-721 Multi-Metadata Extension,"0xG, Marco Peyfuss",Final
7201,Namespaced Storage Layout,"Francisco Giordano, Hadrien Croubois, Ernesto Garcí­a, Eric Lau",Final
7208,On-Chain Data Containers,"Rachid Ajaja, Matthijs de Vries, Alexandros Athanasopulos, Pavel Rubin, Sebastian Galimberti Romano, Daniel Berbesi, Apostolos Mavropoulos, Barbara Marcano, Daniel Ortega",Final
7231,Identity-aggregated NFT,"Chloe Gu, Navid X., Victor Yu, Archer H.",Final
7329,ERC/EIP Repository split,"Lightclient, Danno Ferrin",Final
7401,Parent-Governed Non-Fungible Tokens Nesting,"Bruno Å kvorc, Cicada, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
7409,Public Non-Fungible Tokens Emote Repository,"Bruno Å kvorc, Steven Pineda, Stevan Bogosavljevic, Jan Turk",Final
7432,Non-Fungible Token Roles,"Ernani Sí£o Thiago, Daniel Lima",Final
7439,Prevent ticket touting,"LeadBest Consulting Group, Sandy Sung, Mars Peng, Taien Wang",Final
7514,Add Max Epoch Churn Limit,"dapplion, Tim Beiko",Final
7516,BLOBBASEFEE instruction,Carl Beekhuizen,Final
7528,ETH (Native Asset) Address Convention,Joey Santoro,Final
7535,Native Asset ERC-4626 Tokenized Vault,Joey Santoro,Final
7540,Asynchronous ERC-4626 Tokenized Vaults,"Jeroen Offerijns, Alina Sinelnikova, Vikram Arun, Joey Santoro, Farhaan Ali, Joí£o Martins",Final
7568,Hardfork Meta Backfill - Berlin to Shapella,Tim Beiko,Final
7569,Hardfork Meta - Dencun,Tim Beiko,Final
7575,Multi-Asset ERC-4626 Vaults,"Jeroen Offerijns, Alina Sinelnikova, Vikram Arun, Joey Santoro, Farhaan Ali",Final
7578,Physical Asset Redemption,"Lee Vidor, David Tan, Lee Smith, Gabriel Stoica",Final
7587,Reserve Precompile Address Range for RIPs,"Carl Beekhuizen, Ansgar Dietrichs, Danny Ryan, Tim Beiko",Final
7588,Blob Transactions Metadata JSON Schema,"Gavin Fu, Leo Wang, Bova Chen, Aiden X",Final
7636,"Extension of EIP-778 for ""client"" ENR Entry",James Kempton,Final
7734,Decentralized Identity Verification (DID),Anushka Yadav ,Final
7751,Wrapping of bubbled up reverts,"Daniel Gretzke, Sara Reynolds, Alice Henshaw, Marko Veniger, Hadrien Croubois",Final
